aircraftID,SolverOutput,MaskTail,MgtRules
A0WVQ,files\vanilla_solution.csv,mask\tail mapping masked and original.csv,mask\mgt.csv
A0WCS,,,
A0WLW,,,
A0WIW,,,
A0WDQ,,,
A0WFP,,,
A0WWN,,,
A0WWQ,,,
A0WGT,,,
A0WCT,,,
A0WMA,,,
A0WDO,,,
A0WIG,,,
A0WMI,,,
A0WNN,,,
A0WLF,,,
A0WWB,,,
A0WFA,,,
A0WWV,,,
A0WVI,,,
A0WVZ,,,
A0WGL,,,
A0WWL,,,
A0WGK,,,
A0WGO,,,
A0WGA,,,
A0WDN,,,
A0WMY,,,
A0WMP,,,
A0WDZ,,,
A0WCF,,,
A0WFJ,,,
A0WWH,,,
A0WMT,,,
A0WWU,,,
A0WMF,,,
A0WDV,,,
A0WGU,,,
A0WMV,,,
A0WCV,,,
A0WWS,,,
A0WVL,,,
A0WFN,,,
A0WMJ,,,
A0WIH,,,
A0WNU,,,
A0WLP,,,
A0WLB,,,
A0WDE,,,
A0WNM,,,
A0WBI,,,
A0WFV,,,
A0WMC,,,
A0WDY,,,
A0WIJ,,,
A0WMU,,,
A0WVS,,,
A0WCX,,,
A0WFQ,,,
A0WDF,,,
A0WDR,,,
A0WLU,,,
A0WFY,,,
A0WWE,,,
A0WWM,,,
A0WVV,,,
A0WCH,,,
A0WGR,,,
A0WWR,,,
A0WVD,,,
A0WWT,,,
A0WBX,,,
A0WDX,,,
A0WCI,,,
A0WLR,,,
A0WDU,,,
A0WWF,,,
A0WWI,,,
A0WGP,,,
A0WWK,,,
A0WWY,,,
A0WCP,,,
A0WVY,,,
A0WVO,,,
A0WFX,,,
A0WWO,,,
A0WWJ,,,
A0WVM,,,
A0WNR,,,
A0WGI,,,
A0WCQ,,,
A0WBP,,,
A0WIK,,,
A0WMB,,,
A0WLE,,,
A0WFM,,,
A0WCD,,,
A0WFZ,,,
A0WDT,,,
A0WLC,,,
A0WWX,,,
A0WDA,,,
A0WGC,,,
A0WNW,,,
A0WNO,,,
A0WDW,,,
A0WWP,,,
A0WFF,,,
A0WLX,,,
A0WFE,,,
A0WGE,,,
A0WLS,,,
A0WGN,,,
A0WBB,,,
A0WVE,,,
A0WGH,,,
A0WGY,,,
A0WWG,,,
A0WGF,,,
A0WFS,,,
A0WMZ,,,
A0WMW,,,
A0WGM,,,
A0WDP,,,
A0WBF,,,
A0WLD,,,
A0WCU,,,
A0WVP,,,
A0WCL,,,
A0WCJ,,,
A0WLG,,,
A0WDC,,,
A0WWD,,,
A0WBY,,,
A0WVF,,,
A0WFT,,,
A0WLZ,,,
A0WMX,,,
A0WNA,,,
A0WCW,,,
A0WCR,,,
A0WVR,,,
A0WMQ,,,
A0WDG,,,
A0WCZ,,,
A0WLA,,,
A0WFU,,,
A0WMN,,,
A0WCM,,,
A0WMS,,,
A0WIU,,,
A0WFO,,,
A0WBE,,,
A0WDK,,,
A0WGQ,,,
A0WMO,,,
A0WLH,,,
A0WCN,,,
A0WCY,,,
A0WCA,,,
A0WFR,,,
A0WLL,,,
A0WWC,,,
A0WGW,,,
A0WBS,,,
A0WFC,,,
A0WMM,,,
A0WVW,,,
A0WLI,,,
A0WIA,,,
A0WFH,,,
A0WIR,,,
A0WFW,,,
A0WBL,,,
A0WFG,,,
A0WVH,,,
A0WDH,,,
A0WVT,,,
A0WME,,,
A0WCG,,,
A0WIO,,,
A0WFB,,,
A0WLJ,,,
A0WMR,,,
A0WGD,,,
A0WLM,,,
A0WVA,,,
A0WDM,,,
A0WVX,,,
A0WCK,,,
A0WDD,,,
A0WGS,,,
A0WMG,,,
A0WWZ,,,
A0WGX,,,
A0WVC,,,
A0WDL,,,
A0WNG,,,
A0WVN,,,
A0WFL,,,
A0WGJ,,,
A0WDB,,,
A0WVB,,,
A0WMH,,,
A0WCB,,,
A0WLT,,,
A0WLV,,,
A0WDI,,,
A0WLN,,,
A0WCC,,,
A0WWA,,,
A0WNK,,,
A0WNH,,,
A0WMD,,,
A0WGG,,,
A0WGB,,,
A0WDS,,,
A0WWW,,,
A0WCE,,,
A0WVU,,,
A0WVG,,,
A0WCO,,,
A0WLQ,,,
A0WLO,,,
A0WMK,,,
A0WML,,,
A0WFI,,,
A0WVK,,,
A0WBC,,,
A0WLY,,,
A0WNJ,,,
A0WVJ,,,
A0WDJ,,,
